FID,REITTI,SUUNTA,PYS_JARJNR,SOLMUTUNNU,LYHYTTUNNU,X,Y,PROJ_X,PROJ_Y,NIMI,NIMIR,OSOITE,OSOITER,AIK_VOIM,VERKKO,VPPYSAKKI,TARIFFIALU,JOUKKOLLAJ
23185,4575,1,32,4210202,V2102,2547950,6687109,2547964,6687122,Ruukinranta,Brukstranden,Vantaankoskentie,Vandaforsvägen,1,1,1,04,01
23186,4588,1,46,4940201,V9401,2562420,6685944,2562396,6685930,Sotungin koulu,Sotungin koulu,Sotungintie,Sottungsbyvägen,0,1, , ,01
23187,4588B,2,23,4910205,V9105,2561799,6682778,2561773,6682779,Vartiotie,Vaktvägen,Länsimäentie,Västerkullavägen,0,1,1,04,01
23188,4576,1,52,4230230,V2330,2547459,6691157,2547448,6691145,Muskettikuja,Muskötgränden,Kenraalintie,Generalsvägen,1,1, ,04,01
23189,4575,1,33,4180228,V1828,2547996,6686743,2548006,6686735,Myllymäen koulu,Myllymäen koulu,Martinkyläntie,Mårtensbyvägen,1,1,1,04,01
23190,4588,2,1,4940202,V9402,2562372,6685890,2562407,6685912,Sotungin koulu,Sotungin koulu,Sotungintie,Sottungsbyvägen,0,1,1,04,01
23191,4588B,2,24,4930212,V9312,2561760,6683297,2561736,6683296,Fazerintie,Fazersvägen,Länsimäentie,Västerkullavägen,0,1,1,04,01
23192,4576,1,53,4230226,V2326,2547250,6691203,2547270,6691193,Kenraalintie,Generalsvägen,Kannistontie,Kannistovägen,1,1, ,04,01
23193,4575,1,34,4170278,V1778,2547666,6686529,2547673,6686508,Kivimäenpuisto,Stenbackaparken,Martinkyläntie,Mårtensbyvägen,1,1,1,04,01
23194,4588,2,2,4980214,V9814,2562930,6685726,2562902,6685716,Nurmimäentie,Ängsbackavägen,Nurmimäentie,Ängsbackavägen,0,1,1,04,01
23195,4588B,2,25,4930232,V9332,2561758,6683441,2561733,6683438,Fazerintie,Fazersvägen,Länsimäentie,Västerkullavägen,0,1,1,04,01
23196,4576,1,54,4230224,V2324,2547127,6691019,2547148,6691005,Ritaritie,Riddarvägen,Kannistontie,Kannistovägen,1,1, ,04,01
23197,4575,1,35,4170234,V1734,2547507,6686482,2547511,6686464,Sanomala,Sanomala,Martinkyläntie,Mårtensbyvägen,1,1,1,04,01
23198,4588B,2,26,4930234,V9334,2561955,6683904,2561973,6683940,Pitkäsuo,Långmoss,Kehä III,Ring III,0,1,0,04,01
